ID Detailed Occupation,Detailed Occupation,Average Wage
211011,Substance abuse and behavioral disorder counselors,37571.745777227094
211012,"Educational, guidance, and career counselors and advisors",42271.27930216287
211013,Marriage and family therapists,26915.136379490756
211014,Mental health counselors,35007.97858918456
211015,Rehabilitation counselors,46693.60908408921
211019,"Counselors, all other",29336.140976319868
211020,Social workers,38687.02945224081
211021,"Child, family, and school social workers",40268.08144283756
211022,Healthcare social workers,40489.77443785951
211023,Mental health and substance abuse social workers,39950.28906343686
211029,"Social workers, all other",42459.290731701134
211092,Probation officers & correctional treatment specialists,46213.348135726024
211093,Social & human service assistants,30698.30014742825
21109X,"Miscellaneous community & social service specialists, including health educators & community health workers",35919.69688191546
212011,Clergy,37242.277296257234
212021,"Directors, religious activities & education",33245.32234488096
212099,"Religious workers, all other",21810.05218298427
231012,Judicial law clerks,45501.206595896656
2310XX,"Lawyers, & judges, magistrates, & other judicial workers",124478.50814810928
232011,Paralegals & legal assistants,42361.440873453605
232090,Miscellaneous legal support workers,43860.39869419298
232093,"Title examiners, abstractors, and searchers",48875.86334200142
232099,"Legal support workers, all other",51851.69868932738
251000,Postsecondary teachers,49991.329345329796
252010,Preschool & kindergarten teachers,19728.175206617434
252020,Elementary & middle school teachers,40532.76271944736
252030,Secondary school teachers,44453.7424627428
252050,Special education teachers,39431.04420467718
253000,Other teachers & instructors,21623.964474183816
253041,Tutors,7886.36983348715
2530XX,Other teachers and instructors,27488.374420101758
254010,"Archivists, curators, & museum technicians",38222.123354721945
254021,Librarians,35098.40522010129
254022,Librarians and media collections specialists,38743.72834992776
254031,Library technicians,14012.28505062732
259040,Teaching assistants,17811.086020843995
259041,Teacher assistants,16429.22225285136
2590XX,"Other education, training, & library workers",37658.63625455013
271010,Artists & related workers,25804.65972662201
271020,Designers,39461.492363707664
271021,Commercial and industrial designers,64670.474974791454
271022,Fashion designers,42376.83793625729
271023,Floral designers,19378.37092044049
271024,Graphic designers,38353.11703256923
271025,Interior designers,36057.52256948615
271026,Merchandise displayers and window trimmers,21568.25270854459
27102X,Other designers,53254.28081265958
272011,Actors,23837.018882976114
272012,Producers & directors,65061.10863708074
272020,"Athletes, coaches, umpires, & related workers",22324.53315025806
272021,Athletes and sports competitors,46411.686201250996
272022,Coaches and scouts,23108.58017214645
272023,"Umpires, referees, and other sports officials",6318.698676389224
272030,Dancers & choreographers,17699.00377463418
272040,"Musicians, singers, & related workers",19069.050963098594
272041,Music directors and composers,34240.47854996907
272042,Musicians and singers,16029.08324698749
272091,"Disc jockeys, except radio",13987.332464362971
272099,"Entertainers & performers, sports & related workers, all other",20966.251639698374
273010,Announcers,34742.579229071045
273011,Broadcast announcers and radio disc jockeys,47494.13361466179
273020,"News analysts, reporters & correspondents",49125.2389564939
273023,"News analysts, reporters, and journalists",55210.178798093686
273031,Public relations specialists,65890.44220114923
273041,Editors,42043.86066368738
273042,Technical writers,56772.363575088
273043,Writers & authors,35383.705365724476
273090,Miscellaneous media & communication workers,25638.784993205372
273091,Interpreters and translators,24839.232647500077
273092,Court reporters and simultaneous captioners,41302.23245893465
273099,"Media and communication workers, all other",45738.47699453552
274021,Photographers,18706.69295753645
274030,"Television, video, & motion picture camera operators & editors",38307.65295374869
2740XX,"Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",41004.89901249011
291011,Chiropractors,58929.317817604286
291020,Dentists,127707.80053807773
291031,Dietitians & nutritionists,39096.582625035946
291041,Optometrists,91038.6455644665
291051,Pharmacists,88632.34688145593
291060,Physicians & surgeons,196340.08588736004
291071,Physician assistants,92251.10058815022
291081,Podiatrists,112776.64908379482
291122,Occupational therapists,55173.350408930695
291123,Physical therapists,62904.28474109715
291124,Radiation therapists,70664.7923644221
291125,Recreational therapists,33019.79909117797
291126,Respiratory therapists,51020.96436409805
291127,Speechlanguage pathologists,50207.30577175528
29112X,"Other therapists, including exercise physiologists",36901.664170625954
291131,Veterinarians,84868.11662911795
291141,Registered nurses,55375.02748930428
291151,Nurse anesthetists,137847.88905761446
291181,Audiologists,61989.37370088788
291199,"Health diagnosing & treating practitioners, all other",29673.923581608364
2911XX,Nurse practitioners & nurse midwives,87225.35349109002
291210,Physicians,206831.79290917714
291240,Surgeons,282720.32402206364
291291,Acupuncturists,32554.318695048587
291292,Dental hygienists,45805.26850247612
291299,"Healthcare diagnosing or treating practitioners, all other",37306.6950723478
292010,Clinical laboratory technologists & technicians,40537.11193698079
292021,Dental hygienists (Legacy),44857.30816585913
292030,Diagnostic related technologists & technicians,49375.7855000374
292031,Cardiovascular technologists and technicians,76805.666221549
292032,Diagnostic medical sonographers,73862.48732493505
292034,Radiologic technologists and technicians,56736.64149052558
292035,Magnetic resonance imaging technologists,100650.60025262598
29203X,Nuclear medicine technologists and medical dosimetrists,132946.1370184876
292041,Emergency medical technicians & paramedics,39653.78844172641
292042,Emergency medical technicians,32942.22322574207
292043,Paramedics,52015.679790635775
292050,Health practitioner support technologists & technicians,30402.966992326496
292052,Pharmacy technicians,26957.903027151304
292053,Psychiatric technicians,28564.153121289757
292055,Surgical technologists,43286.84426099381
292056,Veterinary technologists and technicians,26028.87830357999
29205X,Dietetic technicians and ophthalmic medical technicians,23782.078309031614
292061,Licensed practical & licensed vocational nurses,31387.677482973708
292071,Medical records & health information technicians,33998.226652079495
292072,Medical records specialists,36712.267680268946
292081,"Opticians, dispensing",33867.31550810833
292090,Miscellaneous health technologists & technicians,40881.490835307755
299000,Other healthcare practitioners & technical Occupations,50832.997136739934
311010,"Nursing, psychiatric, & home health aides",19476.85154869029
311121,Home health aides,17849.767202998682
311122,Personal care aides,17215.14524964851
311131,Nursing assistants,22241.871595290642
31113X,Orderlies and psychiatric aides,25306.18528302336
312010,Occupational therapy assistants & aides,33668.361686714714
312020,Physical therapist assistants & aides,31635.577168161715
319011,Massage therapists,15319.74753251681
319091,Dental assistants,25885.726746630073
319092,Medical assistants,25862.6901438965
319094,Medical transcriptionists,16389.409530397217
319095,Pharmacy aides,26736.33731428137
319096,Veterinary assistants & laboratory animal caretakers,20893.238519564824
319097,Phlebotomists,25624.922921706206
31909X,"Healthcare support workers, all other, including medical equipment preparers",24128.41562454649
331011,Firstline supervisors of correctional officers,49417.46122027499
331012,Firstline supervisors of police & detectives,72515.40418093909
331021,Firstline supervisors of fire fighting & prevention workers,79095.65843796109
331090,"Miscellaneous first-line supervisors, protective service workers",56702.29217997607
331099,"Firstline supervisors of protective service workers, all other",48601.00342814028
332011,Firefighters,60741.10529640623
332020,Fire inspectors,50797.66099089327
333010,"Bailiffs, correctional officers, & jailers",41917.26713345311
333011,Bailiffs,46785.268200864215
333012,Correctional officers and jailers,44429.20154510544
333021,Detectives & criminal investigators,69472.63203857554
333050,Police officers,60089.14988865874
3330XX,Miscellaneous law enforcement workers,32990.71055263672
339011,Animal control workers,31664.400310804955
339021,Private detectives & investigators,49400.32033046294
339030,Security guards & gaming surveillance officers,26130.68244250902
339091,Crossing guards,13821.367493635156
339093,Transportation security screeners,38949.33111097973
339094,School bus monitors,12474.380950476838
33909X,"Lifeguards & other recreational, & all other protective service workers",6448.728395134485
351011,Chefs & head cooks,28945.322882471555
351012,Firstline supervisors of food preparation & serving workers,23221.954729882902
352010,Cooks,14098.432544230098
352021,Food preparation workers,10835.081664624096
353011,Bartenders,20756.10602263361
353021,"Combined food preparation & serving workers, including fast food",10547.79130059477
353022,"Counter attendants, cafeteria, food concession, & coffee shop",6455.110511989865
353023,Fast food and counter workers,9869.71326107109
353031,Waiters & waitresses,13445.613291670847
353041,"Food servers, nonrestaurant",14832.075398137815
359011,Dining room and cafeteria attendants and bartender helpers,10311.274709741876
359021,Dishwashers,9084.450009043796
359031,"Hosts & hostesses, restaurant, lounge, & coffee shop",7298.707426565948
359099,"Food preparation and serving related workers, all other",15950.87537316969
3590XX,"Miscellaneous food preparation & serving related workers, including dining room & cafeteria attendants & bartender helpers",10035.93296806955
371011,Firstline supervisors of housekeeping & janitorial workers,30437.467101766866
371012,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers",30445.47264440623
372012,Maids & housekeeping cleaners,11456.897790943178
37201X,Janitors & building cleaners,18652.591724538102
372021,Pest control workers,29891.98287691988
373010,Grounds maintenance workers,14264.515832363753
373011,Landscaping and groundskeeping workers,15733.041414996618
373013,Tree trimmers and pruners,25424.244343659517
37301X,Other grounds maintenance workers,21836.047912243455
391000,Supervisors of personal care and service workers,30029.72070930067
391010,Firstline supervisors of gaming workers,37387.48469820237
391021,Firstline supervisors of personal service workers,27638.709469879745
392011,Animal trainers,18853.03930863556
392021,Nonfarm animal caretakers,12892.923146844187
393010,Gaming services workers,28707.72159822601
393021,Motion picture projectionists,18931.81393372982
393031,"Ushers, lobby attendants, & ticket takers",6827.601018610016
393090,Miscellaneous entertainment attendants & related workers,10196.965184320257
3930XX,Other entertainment attendants and related workers,11197.370373278201
394031,"Morticians, undertakers, & funeral directors",45458.09118281886
3940XX,Embalmers & funeral attendants,18197.389689497715
395011,Barbers,12752.538435676233
395012,"Hairdressers, hairstylists, & cosmetologists",14045.81202632352
395090,Miscellaneous personal appearance workers,15306.193500092802
395092,Manicurists and pedicurists,16111.591951102404
395094,Skincare specialists,20858.655397823222
39509X,Other personal appearance workers,17008.09332525742
396010,"Baggage porters, bellhops, & concierges",25570.81693316139
397010,Tour & travel guides,12050.777789729578
399011,Childcare workers,8329.288350826155
399021,Personal care aides (Legacy),14216.012731971796
399030,Recreation & fitness workers,14239.373376321479
399031,Exercise trainers and group fitness instructors,18557.758449173725
399032,Recreation workers,14309.727258727167
399041,Residential advisors,13348.015690548407
399099,"Personal care & service workers, all other ",13793.519217580752
411011,Firstline supervisors of retail sales workers,40148.14414582335
411012,Firstline supervisors of nonretail sales workers,70776.29211066732
412010,Cashiers,10610.354617331848
412021,Counter & rental clerks,21224.121135503043
412022,Parts salespersons,31610.204685323344
412031,Retail salespersons,21672.415898389863
413011,Advertising sales agents,59021.975463194794
413021,Insurance sales agents,53854.68649385349
413031,"Securities, commodities, & financial services sales agents",116457.02855852002
413041,Travel agents,29475.76372948768
413091,"Sales representatives of services, except advertising, insurance, financial services, and travel",75405.68465396445
413099,"Sales representatives, services, all other",65659.86390761934
414010,"Sales representatives, wholesale & manufacturing",67929.48572119647
419010,"Models, demonstrators, & product promoters",12089.157200194966
419020,Real estate brokers & sales agents,43001.75341421511
419031,Sales engineers,108780.47602985431
419041,Telemarketers,14505.106969376626
419091,"Doortodoor sales workers, news & street vendors, & related workers",12001.064758249573
419099,Other Sales Workers,46439.11797243441
431011,Firstline supervisors of office & administrative support workers,47745.361435102466
432011,"Switchboard operators, including answering service",21808.571338329948
432021,Telephone operators,22435.243392315664
432099,"Communications equipment operators, all other",36114.607240005826
433011,Bill & account collectors,29216.24532833966
433021,Billing & posting clerks,30176.22288893494
433031,"Bookkeeping, accounting, & auditing clerks",29528.559522344258
433041,Gaming cage workers,22031.56951718884
433051,Payroll & timekeeping clerks,35663.60141114026
433061,Procurement clerks,54550.11160513914
433071,Tellers,19795.10948127888
433099,Other financial clerks (Legacy),65516.30323645268
4330XX,Other financial clerks,76459.69278730197
434011,Brokerage clerks,42873.22694885574
434031,"Court, municipal, & license clerks",32206.02630147211
434041,"Credit authorizers, checkers, & clerks",43971.84903691877
434051,Customer service representatives,25957.139987496394
434061,"Eligibility interviewers, government programs",38127.327691325496
434071,File clerks,19711.50749764744
434081,"Hotel, motel, & resort desk clerks",17420.965064331103
434111,"Interviewers, except eligibility & loan",21861.84183990398
434121,"Library assistants, clerical",13714.409164234807
434131,Loan interviewers & clerks,41311.80037528319
434141,New accounts clerks,41055.12144860946
434161,"Human resources assistants, except payroll & timekeeping",34415.54164961781
434171,Receptionists & information clerks,18332.293027524676
434181,Reservation & transportation ticket agents & travel clerks,33710.41897704174
434199,"Information & record clerks, all other",25854.173111467193
434XXX,Correspondence clerks & order clerks,25475.875527645385
434YYY,Other information and records clerks,27589.80015808264
435011,Cargo & freight agents,36120.82624693054
435021,Couriers & messengers,25455.23543415416
435030,Dispatchers,34315.38530893114
435031,Public safety telecommunicators,39323.02896738144
435032,"Dispatchers, except police, fire, and ambulance",35634.46485871115
435041,"Meter readers, utilities",33489.26050654933
435051,Postal service clerks,39043.04188390946
435052,Postal service mail carriers,40916.01652746223
435053,"Postal service mail sorters, processors, & processing machine operators",36303.548738136524
435061,"Production, planning, & expediting clerks",43460.926789749006
435071,"Shipping, receiving, & traffic clerks",25653.37673230873
435081,Stock clerks & order fillers,17190.49475455184
435111,"Weighers, measurers, checkers, & samplers, recordkeeping",30412.053429529173
436010,Secretaries & administrative assistants,27547.67976756009
436011,Executive secretaries and executive administrative assistants,51300.14741045749
436012,Legal secretaries and administrative assistants,39372.70157108286
436013,Medical secretaries and administrative assistants,29478.17755637593
436014,"Secretaries and administrative assistants, except legal, medical, and executive",27755.489638861174
439011,Computer operators,34814.207604093455
439021,Data entry keyers,23049.434303642473
439022,Word processors & typists,23422.143117200354
439041,Insurance claims & policy processing clerks,35227.90167829536
439051,"Mail clerks & mail machine operators, except postal service",20287.381079885225
439061,"Office clerks, general",24287.314102764518
439071,"Office machine operators, except computer",19739.616115363588
439081,Proofreaders & copy markers,20948.178131429562
439111,Statistical assistants,41482.809530183375
439XXX,"Miscellaneous office & administrative support workers, including desktop publishers",33074.02633459529
451011,"Firstline supervisors of farming, fishing, & forestry workers",36521.10992419021
452011,Agricultural inspectors,36599.58820386675
452041,"Graders & sorters, agricultural products",14749.237876642408
4520XX,"Miscellaneous agricultural workers, including animal breeders",16628.22510331464
453000,Fishing & hunting workers,18216.26094747261
453031,Fishing and hunting workers,17481.699832633127
454011,Forest & conservation workers,24743.122995512807
454020,Logging workers,20549.95076797113
471011,Firstline supervisors of construction trades & extraction workers,52835.46096129545
472011,Boilermakers,45869.65146034113
472031,Carpenters,24882.57365160408
472040,"Carpet, floor, & tile installers & finishers",22070.63855628432
472050,"Cement masons, concrete finishers, & terrazzo workers",29219.94375219718
472061,Construction laborers,23089.000563974187
472070,Construction equipment operators,42864.48789076856
472071,"Paving, surfacing, & tamping equipment operators",29546.358090727204
47207X,"Construction equipment operators except paving, surfacing, & tamping equipment operators",40524.280978574374
472080,"Drywall installers, ceiling tile installers, & tapers",23073.558049907304
472111,Electricians,43910.58891450851
472121,Glaziers,34496.47018491756
472130,Insulation workers,33838.32127422539
472140,Painters & paperhangers,19538.322620995306
472150,"Pipelayers, plumbers, pipefitters, & steamfitters",38975.661843984235
472151,Pipelayers,42543.59074856914
472152,"Plumbers, pipefitters, and steamfitters",42818.8588668122
472161,Plasterers & stucco masons,25939.986612300756
472181,Roofers,22407.173893500218
472211,Sheet metal workers,35902.77781309052
472221,Structural iron & steel workers,41597.72428036212
472231,Solar photovoltaic installers,30602.10639374425
472XXX,"Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",26789.74188062917
473010,"Helpers, construction trades",19181.157876613135
474011,Construction & building inspectors,43128.22957442338
474021,Elevator installers & repairers,76528.01492751218
474031,Fence erectors,20742.477469949554
474041,Hazardous materials removal workers,34656.33893887773
474051,Highway maintenance workers,33178.85776041633
474061,Railtrack laying & maintenance equipment operators,45811.17066281983
4740XX,Other construction and related workers,33783.57118618442
475020,Surface mining machine operators and earth drillers,46333.96708760852
475021,"Earth drillers, except oil & gas",45752.37589525337
475031,"Explosives workers, ordnance handling experts, & blasters",40248.6582387144
475032,"Explosives workers, ordnance handling experts, and blasters",39414.55618064516
475040,Mining machine operators,55304.079102988384
4750XX,"Miscellaneous extraction workers, including roof bolters & helpers",46908.093319714535
4750YY,"Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",59379.22345456758
47XXXX,"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers & sewer pipe cleaners",28183.631939004335
491011,"Firstline supervisors of mechanics, installers, & repairers",55421.74534635547
492011,"Computer, automated teller, & office machine repairers",34111.81459847549
492020,Radio & telecommunications equipment installers & repairers,44276.66890565007
492091,Avionics technicians,42576.608921504594
492092,"Electric motor, power tool, & related repairers",41551.09245658301
492096,"Electronic equipment installers & repairers, motor vehicles",36319.23502863347
492097,Electronic home entertainment equipment installers & repairers,33202.94622262595
492098,Security & fire alarm systems installers,39079.6967904183
49209X,"Electrical & electronics repairers, transportation equipment, & industrial & utility",45137.27104940469
493011,Aircraft mechanics & service technicians,49816.739380129606
493021,Automotive body & related repairers,32564.209274643224
493022,Automotive glass installers & repairers,27072.32761369396
493023,Automotive service technicians & mechanics,30327.932121098645
493031,Bus & truck mechanics & diesel engine specialists,38950.83047134692
493040,Heavy vehicle & mobile equipment service technicians & mechanics,44733.34179050102
493050,Small engine mechanics,23258.732665539665
493090,"Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers",22646.163590814853
499010,Control & valve installers & repairers,49568.81104093211
499021,"Heating, air conditioning, & refrigeration mechanics & installers",38378.79207938513
499031,Home appliance repairers,27654.704633684734
499043,"Maintenance workers, machinery",42789.549145467434
499044,Millwrights,50292.34811300116
49904X,Industrial & refractory machinery mechanics,44134.840626734825
499051,Electrical powerline installers & repairers,65493.39119757196
499052,Telecommunications line installers & repairers,43421.69959930139
499060,Precision instrument & equipment repairers,39830.83843111634
499071,"Maintenance & repair workers, general",38239.26589223366
499091,"Coin, vending, & amusement machine servicers & repairers",27247.88207549433
499094,Locksmiths & safe repairers,32056.367791772664
499096,Riggers,40344.35734232715
499098,"Helpersinstallation, maintenance, & repair workers ",18045.386786457322
4990XX,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",31240.443433567845
511011,Firstline supervisors of production & operating workers,52761.15422880404
512011,"Aircraft structure, surfaces, rigging, & systems assemblers",39708.32217018917
512020,"Electrical, electronics, & electromechanical assemblers",26192.338998504503
512031,Engine & other machine assemblers,34289.53382815482
512041,Structural metal fabricators & fitters,36146.31630110739
512090,Miscellaneous assemblers & fabricators,25494.37260668488
5120XX,Other assemblers and fabricators,28336.09847510464
513011,Bakers,18032.102304517404
513020,"Butchers & other meat, poultry, & fish processing workers",24143.852640732293
513091,"Food & tobacco roasting, baking, & drying machine operators & tenders",25220.557396490385
513092,Food batchmakers,21460.74525674796
513093,Food cooking machine operators & tenders,16845.350780333
513099,"Food processing workers, all other",28033.734583450947
514010,Computer control programmers & operators,40327.926006009446
514020,"Forming machine setters, operators, and tenders, metal and plastic",40886.19620623137
514021,"Extruding & drawing machine setters, operators, & tenders, metal & plastic",34425.316827668874
514022,"Forging machine setters, operators, & tenders, metal & plastic",33756.31562026729
514023,"Rolling machine setters, operators, & tenders, metal & plastic",36765.243391810356
514030,"Machine tool cutting setters, operators, & tenders, metal & plastic",28971.420206587092
514031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",30391.796103354867
514033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",29674.267250882865
51403X,"Other machine tool setters, operators, and tenders, metal and plastic",32167.691268423405
514041,Machinists,40523.90398140506
514050,"Metal furnace operators, tenders, pourers, & casters",38444.34215087046
5140XX,"Model makers, patternmakers, & molding machine setters, metal & plastic",32300.93078370092
514111,Tool & die makers,47066.67801894364
514120,"Welding, soldering, & brazing workers",35513.337744243305
514XXX,"Miscellaneous metal workers & plastic workers, including multiple machine tool setters",31441.368054438906
515111,Prepress technicians & workers,28606.185665592537
515112,Printing press operators,29290.655845659767
515113,Print binding & finishing workers,24430.255383785036
516011,Laundry & drycleaning workers,16124.019857894222
516021,"Pressers, textile, garment, & related materials",16193.320004262461
516031,Sewing machine operators,17269.500289562806
516040,Shoe & leather workers,18637.035826022944
516050,"Tailors, dressmakers, & sewers",15983.401820326637
516060,"Textile machine setters, operators, and tenders",22026.42293617813
516063,"Textile knitting & weaving machine setters, operators, & tenders",20215.78188974544
516064,"Textile winding, twisting, & drawing out machine setters, operators, & tenders",20731.122101879908
51606X,"Textile bleaching & dyeing, & cutting machine setters, operators, & tenders",19641.42164457451
516093,Upholsterers,20473.291555839274
51609X,"Miscellaneous textile, apparel, & furnishings workers except upholsterers",25574.1459419856
517011,Cabinetmakers & bench carpenters,24205.928871671804
517021,Furniture finishers,18972.182931159023
517041,"Sawing machine setters, operators, & tenders, wood",22377.296579530088
517042,"Woodworking machine setters, operators, & tenders, except sawing",23437.144426449417
5170XX,"Miscellaneous woodworkers, including model makers & patternmakers",21057.875554873684
518010,"Power plant operators, distributors, & dispatchers",77072.03539917499
518021,Stationary engineers & boiler operators,52943.046979418286
518031,Water & wastewater treatment plant & system operators,44145.40643402786
518090,Miscellaneous plant & system operators,60188.3429032519
519010,"Chemical processing machine setters, operators, & tenders",46327.94100067397
519020,"Crushing, grinding, polishing, mixing, & blending workers",34218.989315813145
519030,Cutting workers,22268.389580156098
519041,"Extruding, forming, pressing, & compacting machine setters, operators, & tenders",29923.963387490458
519051,"Furnace, kiln, oven, drier, & kettle operators & tenders",35140.39154910472
519061,"Inspectors, testers, sorters, samplers, & weighers",35233.93772157667
519071,Jewelers & precious stone & metal workers,22002.90098277413
519080,"Medical, dental, & ophthalmic laboratory technicians",31055.006684273165
519111,Packaging & filling machine operators & tenders,21165.87009378874
519120,Painting workers,32045.102034612293
519151,Photographic process workers & processing machine operators,30965.833870049184
519160,Computer numerically controlled tool operators and programmers,43462.63214328742
519191,Adhesive bonding machine operators & tenders,25777.913758536943
519194,Etchers & engravers,22633.02098567644
519195,"Molders, shapers, & casters, except metal & plastic",27176.3485138081
