Location,Total salary,Average salary,occupation_name
"Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA, CA",7798484860.0,48761.87514261666,Electricians
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, MA",7786068089.0,50075.93395658332,"Doortodoor sales workers, news & street vendors, & related workers"
"Frisco (West), The Colony & Little Elm Cities PUMA, TX",7765953990.0,47686.733352726806,Chief executives & legislators
"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",7716010844.0,48187.707927248564,"Secretaries and administrative assistants, except legal, medical, and executive"
"Westchester County (Northeast) PUMA, NY",7675103230.0,48242.53965408643,Industrial production managers
"Benton County PUMA, AR",7664080739.0,44311.31973124512,Travel agents
"Fulton County (Central)Atlanta City (North) PUMA, GA",7641987837.0,50179.94768681377,Financial managers
"Delaware County PUMA, OH",7613454238.0,46685.09275040171,Information security analysts
"Washington & Ozaukee Counties PUMA, WI",7485790664.0,44217.74419958538,"Heating, air conditioning, & refrigeration mechanics & installers"
"West Des Moines & Urbandale Cities PUMA, IA",7473526552.0,46761.546781203346,"Bus drivers, school"
"Blue Valley Region PUMA, KS",7417452235.0,49757.15849472701,"Miscellaneous office & administrative support workers, including desktop publishers"
"San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA, CA",7406483098.0,46913.69792415518,Chemists & materials scientists
"Columbia (East), Ellicott City (Southeast) & Elkridge PUMA, MD",7400336588.0,46436.8386127882,Couriers & messengers
"Charlotte City (South) PUMA, NC",7319418352.0,49187.660192128154,Physicians
"District of Columbia (West) PUMA, DC",7269716326.0,50743.923467548135,"Educational, guidance, and career counselors and advisors"
"Dane County (West) PUMA, WI",7263132420.0,47266.01663458516,Marketing managers
"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA, CT",7223295051.0,47783.676106430474,"Bus drivers, transit and intercity"
"Huntington Beach City PUMA, CA",7210309677.0,45462.474162668055,Flight attendants
"Flower Mound Town & Highland Village City PUMA, TX",7195622657.0,48690.52446115266,"Computer, automated teller, & office machine repairers"
"Vienna Town, Oakton & Fair Oaks (East) PUMA, VA",7192317192.0,48783.7771669884,Word processors & typists
"Jersey City (North) PUMA, NJ",7134627283.0,47657.94436588341,Diagnostic medical sonographers
"Leesburg Town PUMA, VA",7132158143.0,47305.65119456039,Logisticians
"San Mateo (South) & Half Moon Bay Cities PUMA, CA",7125948390.0,47190.551872518314,Emergency medical technicians
"Downers Grove Township PUMA, IL",7115269848.0,46619.14450301157,Secondary school teachers
"Union City & Hoboken Cities PUMA, NJ",7109499832.0,44980.492837183774,Other financial clerks
"Greenpoint & Williamsburg PUMA, NY",7104869125.0,46323.25943728974,Firstline supervisors of police & detectives
"Morristown Town, Madison & Florham Park Boroughs PUMA, NJ",7099064572.0,49046.53121279137,Coaches and scouts
"Birmingham & Bloomfield Area PUMA, MI",7088201870.0,49040.05334672535,"Postal service mail sorters, processors, & processing machine operators"
"Watertown Town City, Arlington, Belmont & Winchester Towns PUMA, MA",7076725778.0,50185.17254280712,Tool & die makers
"McLean & Idylwood PUMA, VA",7075034116.0,50239.46540308926,Electricians
"San Diego City (Southwest/Central Coastal) PUMA, CA",7040588610.0,47088.93464171488,"Title examiners, abstractors, and searchers"
"Cobb County (Southeast)Smyrna City PUMA, GA",7027294741.0,45672.440956285966,Real estate brokers & sales agents
"Rockingham County (Southern)Portsmouth City PUMA, NH",7019951425.0,44759.189506341725,Supervisors of transportation & material moving workers
"Carmel City & Fishers Town (West) PUMA, IN",6995164083.0,50429.579853489144,Information security analysts
"Henderson City (West) PUMA, NV",6986044046.0,44451.469463118556,Postal service mail carriers
"Spring Valley & Summerlin South PUMA, NV",6976975484.0,44632.04728077891,Computer numerically controlled tool operators and programmers
"Charleston City PUMA, SC",6950540296.0,46477.2781560816,Speechlanguage pathologists
"St. Mary's & Calvert Counties PUMA, MD",6944322297.0,46460.529437138706,Compliance officers
"Portland City (Northwest & Southwest) PUMA, OR",6937966423.0,47711.66137619244,"Switchboard operators, including answering service"
"Nashville-Davidson (Southwest) PUMA, TN",6901608445.0,47138.20083712339,Firstline supervisors of police & detectives
"Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA, MD",6896147505.0,45892.03907898137,"Computer, automated teller, & office machine repairers"
"Park Slope, Carroll Gardens & Red Hook PUMA, NY",6891667110.0,48824.88952123929,Paralegals & legal assistants
"Capitol Hill PUMA, WA",6885389736.0,48462.68182826693,Insurance underwriters
"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA, CT",6868327237.0,46714.510449504756,"Other engineering technologists and technicians, except drafters"
"Troy & Rochester Area PUMA, MI",6863902061.0,50257.345820354756,Tree trimmers and pruners
"Minneapolis City (Southwest) PUMA, MN",6847759443.0,50302.35931617943,Other managers
"Princeton Borough PUMA, NJ",6819152380.0,47242.2101168287,"Court, municipal, & license clerks"
"Austin City (Central) PUMA, TX",6806761799.0,47717.545007706496,Veterinarians
"Somerset County (North & West) PUMA, NJ",6770296174.0,51475.49596518013,Logging workers
"Austin City (Northwest) PUMA, TX",6761484349.0,51327.32763367152,Clinical laboratory technologists & technicians
"Montgomery County (South Central) PUMA, PA",6753229251.999999,46846.54961046835,"Title examiners, abstractors, and searchers"
"DuPage & Wheatland Townships PUMA, IL",6742313065.0,45879.58403865874,Athletes and sports competitors
"Oakland (Northwest) & Emeryville Cities PUMA, CA",6739390075.0,45415.201652635275,"Chemical processing machine setters, operators, & tenders"
"San Diego City (Central/Centre City & Balboa Park) PUMA, CA",6731097534.0,43998.18410414675,Rehabilitation counselors
"Hoover (North), Vestavia Hills & Homewood Cities PUMA, AL",6730112267.0,46876.11775270057,Firstline supervisors of production & operating workers
"San Jose (West Central) & Campbell Cities PUMA, CA",6694016033.0,47809.515704958554,Secondary school teachers
"Westchester County (Southeast) PUMA, NY",6692715471.0,44397.19659974542,Human resources managers
"Wayne County (Northwest) PUMA, MI",6680075264.0,46128.0019931244,Stationary engineers & boiler operators
"Burlington County (West Central) PUMA, NJ",6670666047.0,48789.69878145862,"Farmers, ranchers, & other agricultural managers"
"Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA, IL",6664574383.0,46307.822806478216,Legal secretaries and administrative assistants
"LA City (Central/Hancock Park & Mid-Wilshire) PUMA, CA",6630909831.0,46035.383160715974,File clerks
"Columbia (West) & Ellicott City (Northwest) PUMA, MD",6628266211.0,51060.737653263976,Public safety telecommunicators
"Olney, Damascus, Clarksburg & Darnestown PUMA, MD",6627845770.0,49058.63716364872,Marketing managers
"King of Prussia & Ardmore (East) PUMA, PA",6622953554.0,48405.79858492176,Parts salespersons
"St. Johns County (North) PUMA, FL",6619515558.0,47681.316280134895,"Transportation, storage, & distribution managers"
"Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA, MA",6588088889.0,46492.278448060024,Painters & paperhangers
"Arlington County (South) PUMA, VA",6580167291.0,49717.94661908268,Other teachers and instructors
"DeKalb County (North)Dunwoody City PUMA, GA",6573046403.0,48623.1321423372,Medical & health services managers
"Norman, Oklahoma City (South) & Moore Cities PUMA, OK",6558240805.0,44646.567668228454,Firstline supervisors of office & administrative support workers
"Broomfield, Jefferson (Northeast), Adams (Northwest) & Boulder (Southeast) Counties PUMA, CO",6522640849.0,47292.462427546256,Driver/sales workers & truck drivers
"Tampa City (South) PUMA, FL",6506699006.0,45652.8847037538,Respiratory therapists
"North Hempstead Town (North) PUMA, NY",6496974095.0,48810.75957025538,File clerks
"Denver City (Northeast) PUMA, CO",6494007944.0,43779.23496572343,Software quality assurance analysts and testers
"Fulton County (North)Sandy Springs City PUMA, GA",6479689714.0,50633.57306109311,Human resources managers
"Warren, Libertyville (North & East) & Shields Townships PUMA, IL",6458112595.0,45173.83871723692,Heavy vehicle & mobile equipment service technicians & mechanics
"Grapevine, Southlake & Colleyville Cities PUMA, TX",6440931975.0,49568.76001311141,Artists & related workers
"Tuckahoe, Short Pump & Wyndham PUMA, VA",6439341813.0,45728.77955956426,"Baggage porters, bellhops, & concierges"
"Union City, Newark & Fremont (West) Cities PUMA, CA",6424797607.0,46840.35089238821,Customer service representatives
"Fulton County (East)Atlanta City (Southeast) PUMA, GA",6405734423.0,46311.54340904826,"Transportation, storage, & distribution managers"
"San Jose City (Central) PUMA, CA",6338296289.0,44062.30714148079,Special education teachers
"Denver City (South Central) PUMA, CO",6278763027.0,48405.01057858698,Operations research analysts
"Menlo Park, East Palo Alto Cities & Atherton Town PUMA, CA",6265635461.0,46718.411158021336,Industrial & refractory machinery mechanics
"Apex & Holly Springs Towns PUMA, NC",6262437246.0,49461.16069928772,"Lawyers, & judges, magistrates, & other judicial workers"
"North of I-30 PUMA, TX (79500US4802313)",6227653468.0,47394.709513243186,Executive secretaries and executive administrative assistants
"Denver City (Southeast) PUMA, CO",6219958115.0,45779.575812171024,"Miscellaneous mathematical science occupations, including mathematicians & statisticians"
"Severn, Odenton, Crofton, Maryland City & Fort Meade PUMA, MD",6189644390.0,47655.15286056838,"Doortodoor sales workers, news & street vendors, & related workers"
"Santa Clarita City PUMA, CA",6188261720.0,45676.795493884856,Nursing assistants
"Cobb County (Northeast) PUMA, GA",6181753564.0,46193.06629125269,"Sales representatives of services, except advertising, insurance, financial services, and travel"
"San Leandro, Alameda & Oakland (Southwest) Cities PUMA, CA",6151027364.0,44211.24603527903,Dental hygienists
"Middlesex (West Central) & Worcester (East) Counties PUMA, MA",6131887811.0,48775.21878111391,Industrial truck & tractor operators
"Essex County (Southwest) PUMA, NJ",6124767881.0,49418.76731067041,File clerks
"San Mateo (North), Burlingame & Millbrae Cities PUMA, CA",6114083125.0,49371.5583534386,Radiologic technologists and technicians
"Franklin Park Borough & Allison Park PUMA, PA",6111983839.0,46763.570754032844,Shuttle drivers and chauffeurs
"Westchester County (Northwest) PUMA, NY",6088149760.0,45410.98371131173,"Transportation, storage, & distribution managers"
"Greater Franklin Town City PUMA, MA",6082259486.0,48180.0004834832,Registered nurses
"Costa Mesa & Fountain Valley Cities PUMA, CA",6077479749.0,46995.124821973215,Industrial & refractory machinery mechanics
"Lexington-Fayette County (Outer) PUMA, KY",6064521119.0,46883.71931922758,Software developers
"League City & Friendswood City PUMA, TX",6042947994.0,48151.17516772967,Other managers
"Burke PUMA, VA",6038102382.0,47942.58891333286,Financial managers
"Oakland County (Southeast) PUMA, MI",6037568051.0,45676.72671392128,Computer numerically controlled tool operators and programmers
"Maine, Norwood Park Townships & Chicago CityEdison Park PUMA, IL",6021003402.0,45626.750834910716,Manicurists and pedicurists
"Chittenden, Franklin & Grand Isle CountiesBurlington City PUMA, VT",6010967393.0,43633.64222074701,Detectives & criminal investigators
"Omaha City (Northwest) PUMA, NE",6005907152.0,45320.811060439344,Computer & information systems managers
"Milpitas & San Jose (Northeast) Cities PUMA, CA",6004656813.0,44643.353284350174,Marketing managers
"Richmond City PUMA, VA",6003086498.0,43609.211581166615,Food batchmakers
"Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties PUMA, VA",5992296026.0,43943.451889060845,Firstline supervisors of retail sales workers
"Shelby County PUMA, AL",5989588105.0,46184.62340797836,"Interviewers, except eligibility & loan"
"LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA, CA",5987301218.0,43405.73145584711,Statistical assistants
"San Diego City (Central/Clairemont & Kearny Mesa) PUMA, CA",5979179097.0,46334.61972308598,"Counselors, all other"
"Albany County (Outside Albany City) PUMA, NY",5974220961.0,46594.750491167666,Other managers
"Bucks County (Central) PUMA, PA",5971196910.0,48768.55474435997,"Laborers & freight, stock, & material movers, hand"
"Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA, WA",5971190923.0,48701.27220971976,"Miscellaneous office & administrative support workers, including desktop publishers"
"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",5961040294.0,45731.342115595005,General & operations managers
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA, MA",5945327760.0,47301.71143909004,Crane & tower operators
"Fort Collins City PUMA, CO",5942470778.0,44681.69786884861,Other assemblers and fabricators
"Severna Park, Arnold & Lake Shore PUMA, MD",5926652228.0,47861.29891135941,Other Sales Workers
"Scottsdale City (Southwest) & Paradise Valley Town PUMA, AZ",5917959748.0,47563.94585886726,"Morticians, undertakers, & funeral directors"
"Dane County (East) PUMA, WI",5915230256.0,44605.12459026494,Chief executives & legislators
"St. Louis County (Central) PUMA, MO",5912676448.0,49098.46135679701,Entertainment and recreation managers
"Annapolis City, Parole, Annapolis Neck & Edgewater PUMA, MD",5907925397.0,45056.92020535286,"Child, family, and school social workers"
"West Hollywood & Beverly Hills Cities PUMA, CA",5890906028.0,47318.019792218896,Locomotive engineers & operators
"Billerica, Andover, Tewksbury & Wilmington Towns PUMA, MA",5877927036.0,47497.89173438857,Public safety telecommunicators
"George Washington Regional Commission (North) PUMA, VA",5872777138.0,45141.011425680605,Financial analysts
"San Diego City (Northwest/Del Mar Mesa) PUMA, CA",5869597553.0,49759.25083622843,Social & human service assistants
"Bothell (North), Mill Creek Cities & Silver Firs PUMA, WA",5863076621.0,46782.23149936341,"Helpers, construction trades"
"Longmont City & Erie Town PUMA, CO",5858147571.0,45606.818167890786,Home health aides
"Summit City & Westfield Town (North) PUMA, NJ",5857962841.0,50096.91160681012,Substance abuse and behavioral disorder counselors
"Glendale City PUMA, CA",5852531391.0,43370.86700997681,School psychologists
"Katy City (Northeast) PUMA, TX",5850063817.0,49044.038899740146,"Food servers, nonrestaurant"
"Tracy, Manteca & Lathrop Cities PUMA, CA",5848605464.0,43200.823287752624,"Firstline supervisors of landscaping, lawn service, & groundskeeping workers"
"Lyndhurst, Mayfield Heights, Shaker Heights & Solon Cities PUMA, OH",5822969043.0,46337.262098098385,Food preparation workers
"Concord (South), Walnut Creek (East) & Clayton Cities PUMA, CA",5816637419.0,49876.304440391425,Structural iron & steel workers
"Framingham Town, Marlborough City & Natick Town PUMA, MA",5804493291.0,46070.27605529696,Packaging & filling machine operators & tenders
"Maui, Kalawao & Kauai Counties PUMA, HI",5792605430.0,41302.39239767407,Firstline supervisors of construction trades & extraction workers
"Seattle City (Northeast) PUMA, WA",5792068780.0,46455.03515903858,Firstline supervisors of retail sales workers
"Middlesex County PUMA, CT",5788897745.0,47075.30806573868,"Packers & packagers, hand"
"Edmond & Oklahoma City (North Central) Cities PUMA, OK",5787627712.0,47562.90996117391,Chefs & head cooks
"Levittown PUMA, PA",5779443695.0,46212.177850546985,Tax preparers
"Kent County (Southeast) PUMA, MI",5777129412.0,43576.142086424,"Baggage porters, bellhops, & concierges"
"Austin City (Southwest), Lost Creek & Barton Creek PUMA, TX",5773591283.0,48030.90625942629,Nuclear medicine technologists and medical dosimetrists
"Bloomingdale (South), Wayne & Winfield (North) Townships PUMA, IL",5767948729.0,44262.96230798373,Data entry keyers
"Huntersville, Cornelius & Davidson Towns PUMA, NC",5763059127.0,45636.081196123334,Aircraft pilots & flight engineers
"West Ridge, Lincoln Square & North Center PUMA, IL",5762195784.0,46015.40743855816,General & operations managers
"Durham City (South) PUMA, NC",5747747627.0,46460.60817858803,Writers & authors
"Miami City (East) & Key Biscayne Village PUMA, FL",5732300651.0,47965.87712451104,Water & wastewater treatment plant & system operators
"Castle Rock Town PUMA, CO",5714859220.0,47795.919075016085,Postsecondary teachers
"Dallas (West Central), University Park Cities & Highland Park Town PUMA, TX",5703705960.0,46882.67180789356,Industrial truck & tractor operators
"Livingston County PUMA, MI",5700700647.0,45906.09134618383,"Other therapists, including exercise physiologists"
"Allen, Murphy, Plano (East) & Parker Cities PUMA, TX",5699738714.0,48021.22392072599,Credit counselors & loan officers
"Duwamish & Beacon Hill PUMA, WA",5697675311.0,47000.0565020926,Dietitians & nutritionists
"Hillsborough County (South County) PUMA, FL",5697635352.0,43387.853781008045,Radio & telecommunications equipment installers & repairers
"Cedar Rapids City PUMA, IA",5697586525.0,44377.689985753066,Fashion designers
"Santa Monica City PUMA, CA",5696271594.0,48016.139661513385,Correctional officers and jailers
"Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA, CA",5692882308.0,46661.68624751657,"Purchasing agents, except wholesale, retail, & farm products"
"Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA, TX",5690956479.0,46926.404234687456,Fundraisers
"Sunset District (North) PUMA, CA",5673334101.0,47783.10251670099,Clergy
"Edgewater, Uptown & Rogers Park PUMA, IL",5671065801.0,47020.58234496006,Private detectives & investigators
"San Jose City (Southwest/Almaden Valley) PUMA, CA",5666064430.0,48034.91583925605,Pharmacists
"Broomall & Ardmore (West) PUMA, PA",5658408913.0,45781.57051970746,"Miscellaneous production workers, including semiconductor processors"
"Sunset District (South) PUMA, CA",5651521398.0,44625.51758068647,"Lawyers, & judges, magistrates, & other judicial workers"
"Montgomery County (South)The Woodlands (North) PUMA, TX",5647591423.0,49242.56365966125,"Legal support workers, all other"
"Yorba Linda, La Habra & Brea Cities PUMA, CA",5636283684.0,46745.11978362952,"Legal support workers, all other"
"Plano City (West) PUMA, TX",5634741710.0,49606.182203338554,Landscaping and groundskeeping workers
"Niles & Evanston Townships PUMA, IL",5628505061.0,45818.00861145384,"Sales representatives of services, except advertising, insurance, financial services, and travel"
"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA, MA",5626429355.0,44201.76382906901,Other managers
"Yonkers City PUMA, NY",5620619918.0,43772.49517203357,"Lawyers, & judges, magistrates, & other judicial workers"
"Essex County (Northwest) PUMA, NJ",5616530408.0,50763.70115888269,Customer service representatives
"Hockessin PUMA, DE",5613636503.0,46155.57745636322,Small engine mechanics
"Outer Manchester City PUMA, NH",5597371300.0,45883.40730134612,Electrical & electronics engineers
"Ridgewood Village, Glen Rock & Westwood Boroughs PUMA, NJ",5595171029.0,48654.70753671092,Tool & die makers
"Highlands Ranch & Chatfield Park PUMA, CO",5582042646.0,46759.79327040416,Roofers
"San Jose City (Northwest) PUMA, CA",5580908509.0,44666.43564140994,Librarians and media collections specialists
"Anchorage Municipality (South) PUMA, AK",5568570410.0,47246.633660600884,"Miscellaneous engineers, including nuclear engineers"
"Oyster Bay Town (North) & Glen Cove City PUMA, NY",5564079641.0,47919.92926860484,"Medical scientists, & life scientists, all other"
"Overland Park (North), Prairie Village & Merriam Cities PUMA, KS",5559993666.0,48997.49695635786,Materials engineers
"Middlesex County (Southwest) PUMA, NJ",5552300844.0,49940.292610031574,Machine feeders & offbearers
"Litchfield County PUMA, CT",5536432748.0,43846.45080049367,Graphic designers
"El Dorado Hills PUMA, CA",5534549729.0,44279.54981704291,Bartenders
"Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA, MA",5532927172.0,47622.299636792464,Other drafters
"Windsor Town, Healdsburg & Sonoma Cities PUMA, CA",5520357840.0,43819.38746321601,Operations research analysts
"Walton, Washington, Holmes & Bay Counties PUMA, FL",5513353979.0,43889.42611646514,"Plumbers, pipefitters, and steamfitters"
"Edina, St. Louis Park & Hopkins Cities PUMA, MN",5512450122.0,49332.67800982677,Security guards & gaming surveillance officers
"Thousand Oaks City PUMA, CA",5508114354.0,45329.14601910768,Massage therapists
"Midland CountyMidland City PUMA, TX",5499646324.0,43908.45449553504,General & operations managers
"Butler County PUMA, PA",5494775134.0,45467.7532129129,Food service managers
"Hunterdon County PUMA, NJ",5489691944.0,47045.5360631796,Supervisors of transportation & material moving workers
"Minot City PUMA, ND",5485945318.0,42700.617266637295,"Purchasing agents, except wholesale, retail, & farm products"
"West Chester Borough PUMA, PA",5478898682.0,46240.726715505116,Supervisors of transportation & material moving workers
"Travis County (West, South & Outside Austin City) PUMA, TX",5466994722.0,45827.64154317288,Maids & housekeeping cleaners
"Carroll County PUMA, MD",5458230069.0,44140.778041268044,"Miscellaneous life, physical, & social science technicians, including social science research assistants"
"Bucks County (Southwest) PUMA, PA",5455698169.0,45775.831306923275,Stockers and order fillers
"Arcadia, San Gabriel & Temple City Cities PUMA, CA",5443814150.0,44513.76716565972,"Legal support workers, all other"
"Raleigh City (Northwest) & Morrisville Town PUMA, NC",5442307398.0,49321.65883313364,"Miscellaneous agricultural workers, including animal breeders"
"Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA, MA",5440963916.0,46683.00547054708,"Hairdressers, hairstylists, & cosmetologists"
"George Washington Regional Commission (South) PUMA, VA",5437994245.0,43729.99368492467,Personal financial advisors
"Fulton County (Northeast)Johns Creek City PUMA, GA",5436438242.0,50668.41827699061,"Farmers, ranchers, & other agricultural managers"
"Dover Town & Kinnelon Borough PUMA, NJ",5423729690.0,48586.09979593903,Elementary & middle school teachers
"Fargo City PUMA, ND",5423088951.0,45325.994717186295,"Office machine operators, except computer"
"Irving (North), Coppell & Carrollton (Southwest) Cities PUMA, TX",5412107548.0,46378.631858287685,Web and digital interface designers
"Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",5409427885.0,49861.072700307726,Pharmacy technicians
"South Coast Region PUMA, CA",5404902649.0,44396.018853079695,Sheet metal workers
"Layton, Clearfield, Kaysville, Syracuse & Clinton Cities PUMA, UT",5403070495.0,44872.0073209757,Social & community service managers
"Parker Town & The Pinery PUMA, CO",5399276451.0,46741.67222470922,Postsecondary teachers
"Astoria & Long Island City PUMA, NY",5393822207.0,44177.030004592336,Writers & authors
